strain	accession	date	region	regionSamp	countrySamp	country	background	authors	outbreak	undated	route
G00262	G00262	20XX-XX-XX	africa	africa	ethiopia	ethiopia	background	Gagneux	non-outbreak	undated	
G00900	G00900	20XX-XX-XX	africa	africa	ghana	ghana	background	Gagneux	non-outbreak	undated	
G00152	G00152	20XX-XX-XX	africa	africa	uganda	uganda	background	Gagneux	non-outbreak	undated	
G00866	G00866	20XX-XX-XX	africa	africa	tanzania	tanzania	background	Gagneux	non-outbreak	undated	
G00872	G00872	20XX-XX-XX	africa	africa	uganda	uganda	background	Gagneux	non-outbreak	undated	
G00873	G00873	20XX-XX-XX	africa	africa	uganda	uganda	background	Gagneux	non-outbreak	undated	
G00874	G00874	20XX-XX-XX	africa	africa	uganda	uganda	background	Gagneux	non-outbreak	undated	
G00524	G00524	2004-XX-XX	africa	europe	switzerland	cote_d_ivoire	background	Gagneux	non-outbreak	dated	
G25604	UK4	20XX-XX-XX	africa	europe	united_kingdom	eritrea	Walker2018	Walker2018	non-outbreak	undated
G25605	UK5	20XX-XX-XX	africa	europe	united_kingdom	somalia	Walker2018	Walker2018	non-outbreak	undated
G25606	UK6	20XX-XX-XX	africa	europe	united_kingdom	ethiopia	Walker2018	Walker2018	non-outbreak	undated
G25607	UK7	20XX-XX-XX	africa	europe	united_kingdom	eritrea	Walker2018	Walker2018	non-outbreak	undated
G25608	UK8	20XX-XX-XX	africa	europe	united_kingdom	ethiopia	Walker2018	Walker2018	non-outbreak	undated
G25609	UK9	20XX-XX-XX	africa	europe	united_kingdom	somalia	Walker2018	Walker2018	non-outbreak	undated
G25610	SE1	2016-08-03	africa	europe	sweden	somalia	Walker2018	Walker2018	outbreak	dated
G22819	SRR5818632	20XX-XX-XX	africa	africa	djibouti	djibouti	background	Gagneux	non-outbreak	undated
G22820	SRR5818633	20XX-XX-XX	africa	africa	djibouti	djibouti	background	Gagneux	non-outbreak	undated
G15064	SRR2100924	20XX-XX-XX		europe	united_kingdom		background	Gagneux	non-outbreak	undated
G15066	SRR2100926	20XX-XX-XX		europe	united_kingdom		background	Gagneux	non-outbreak	undated
G15117	SRR2100979	20XX-XX-XX		europe	united_kingdom		background	Gagneux	non-outbreak	undated
G15179	SRR2101041	20XX-XX-XX		europe	united_kingdom		background	Gagneux	non-outbreak	undated
G15186	SRR2101048	20XX-XX-XX		europe	united_kingdom		background	Gagneux	non-outbreak	undated
G13393	ERR551223	20XX-XX-XX		europe	germany		background	Gagneux	non-outbreak	undated
G05024	SRR5535702	2014-09-02	africa	africa	kenya	kenya	background	Gagneux	non-outbreak	dated
G26474	ERR1200653	20XX-XX-XX	africa	africa	ethiopia	ethiopia	background	Gagneux	non-outbreak	undated
G21039	ERR221599	20XX-XX-XX	africa	africa	malawi	malawi	background	Gagneux	non-outbreak	undated
G00540	ERR841411	20XX-XX-XX	africa	europe	switzerland	somalia	background	Gagneux	non-outbreak	undated
G00546	ERR841417	20XX-XX-XX	africa	europe	switzerland	cote_d_ivoire	background	Gagneux	non-outbreak	undated
G22787	SRR5818600	20XX-XX-XX	africa	africa	djibouti	djibouti	background	Gagneux	non-outbreak	undated
G22816	SRR5818629	20XX-XX-XX	africa	africa	djibouti	djibouti	background	Gagneux	non-outbreak	undated
G22832	SRR5818645	20XX-XX-XX	africa	africa	djibouti	djibouti	background	Gagneux	non-outbreak	undated
G22852	SRR5818665	20XX-XX-XX	africa	africa	djibouti	djibouti	background	Gagneux	non-outbreak	undated
G13821	ERR552602	20XX-XX-XX		europe	germany		background	Gagneux	non-outbreak	undated
G22761	SRR5818574	20XX-XX-XX	africa	africa	djibouti	djibouti	background	Gagneux	non-outbreak	undated
